Time,AltitudeMeters,LatitudeDegrees,LongitudeDegrees,HeartRateBpm,SecondsFromStart,DistanceTraveled
2020-05-07T11:01:23Z,74,59.1351451,24.4993201,,2598.0,51536.151803713634
2020-05-07T11:01:54Z,78,59.1328942,24.4980788,,2629.0,52389.8088738192
2020-05-07T11:04:10Z,72,59.1331065,24.4984527,,2765.0,52494.22512622222
2020-05-07T11:04:41Z,64,59.1382046,24.5015558,,2796.0,54443.25208502858
2020-05-07T11:05:12Z,68,59.14475,24.5056174,,2827.0,56949.91550517047
2020-05-07T11:05:42Z,54,59.1512419,24.5053156,,2857.0,59319.66083643074
2020-05-07T11:06:12Z,68,59.1545726,24.5070434,,2887.0,60577.3866414639
2020-05-07T11:06:42Z,61,59.1582147,24.5048813,,2917.0,61966.68529960047
2020-05-07T11:07:13Z,61,59.1585619,24.5048693,,2948.0,62093.40779920713
2020-05-07T11:07:46Z,60,59.1588519,24.5048501,,2981.0,62199.29787356908
2020-05-07T11:08:16Z,55,59.1612557,24.5045815,,3011.0,63077.9483163987
2020-05-07T11:08:46Z,57,59.1671163,24.5036476,,3041.0,65223.764410754324
2020-05-07T11:09:17Z,63,59.1739024,24.5025066,,3072.0,67709.37493798493
2020-05-07T11:09:47Z,51,59.1804725,24.5013418,,3102.0,70116.85648393276
2020-05-07T11:10:18Z,53,59.182055,24.5013583,,3133.0,70694.36226098446
2020-05-07T11:10:52Z,51,59.1817457,24.5014573,,3167.0,70808.74198856363
2020-05-07T11:11:22Z,57,59.1789459,24.5018678,,3197.0,71833.34430905645
2020-05-07T11:11:53Z,52,59.176877,24.5022942,,3228.0,72592.54051916036
2020-05-07T11:12:23Z,64,59.1774661,24.5020209,,3258.0,72813.50936902229
2020-05-07T11:12:54Z,65,59.1758757,24.5021886,,3289.0,73394.73643747147
2020-05-07T11:13:24Z,63,59.1746868,24.5043123,,3319.0,73982.90259694049
2020-05-07T11:13:55Z,55,59.1771251,24.5102055,,3350.0,75399.26718210532
2020-05-07T11:14:50Z,61,59.1773161,24.5106009,,3405.0,75500.8757239266
2020-05-07T11:15:21Z,62,59.1785774,24.514832,,3436.0,76416.15857123215
2020-05-07T11:15:51Z,67,59.1794007,24.5200073,,3466.0,77429.3717404191
2020-05-07T11:16:22Z,71,59.1814663,24.5253187,,3497.0,78676.10787787773
2020-05-07T11:16:53Z,64,59.1818093,24.5319016,,3528.0,79913.18852595496
2020-05-07T11:17:23Z,65,59.1832268,24.5351291,,3558.0,80707.96401210556
2020-05-07T11:17:53Z,58,59.184005,24.5381271,,3588.0,81336.27563654291
2020-05-07T11:18:24Z,60,59.1848928,24.5388538,,3619.0,81687.58824814274
2020-05-07T11:18:54Z,56,59.185217,24.5401754,,3649.0,81961.5148390081
2020-05-07T11:19:25Z,57,59.1868052,24.539377,,3680.0,82560.00091080161
2020-05-07T11:19:56Z,64,59.188219,24.5389304,,3711.0,83082.64552978045
2020-05-07T11:20:27Z,60,59.1887324,24.5375593,,3742.0,83400.11217275863
2020-05-07T11:20:58Z,55,59.1897771,24.5378462,,3773.0,83785.10502806923
2020-05-07T11:21:29Z,57,59.1905458,24.5394297,,3804.0,84192.89521998225
2020-05-07T11:22:00Z,63,59.1907345,24.5400047,,3835.0,84320.53706562328
2020-05-07T11:35:39Z,68,59.1905909,24.5395589,,4654.0,84418.9700381091
2020-05-07T11:36:09Z,64,59.1899589,24.5383048,,4684.0,84747.8138489473
2020-05-07T11:36:40Z,54,59.189073,24.5375893,,4715.0,85097.67363090067
2020-05-07T11:37:10Z,55,59.1884882,24.538654,,4745.0,85389.47853843286
2020-05-07T11:37:40Z,49,59.1874046,24.5394319,,4775.0,85810.80113677218
2020-05-07T11:38:10Z,51,59.1855696,24.5401072,,4805.0,86492.23747341134
2020-05-07T11:38:40Z,56,59.1849117,24.5430564,,4835.0,87093.56611969523
2020-05-07T11:39:11Z,59,59.186146,24.5479887,,4866.0,88119.73919745786
2020-05-07T11:39:41Z,64,59.1865716,24.5537169,,4896.0,89201.73446164875
2020-05-07T11:40:12Z,56,59.1865236,24.5596643,,4927.0,90313.63218960754
2020-05-07T11:40:43Z,63,59.1865213,24.5623449,,4958.0,90814.72331606764
2020-05-07T11:41:13Z,57,59.1869961,24.5665072,,4988.0,91611.84498619293
2020-05-07T11:41:43Z,58,59.1859847,24.5723239,,5018.0,92760.1094056724
2020-05-07T11:42:14Z,60,59.184531,24.5783854,,5049.0,94011.27357757726
2020-05-07T11:42:44Z,51,59.1819707,24.5802275,,5079.0,95007.04400233028
2020-05-07T11:43:15Z,60,59.1794815,24.5836611,,5110.0,96119.36633899242
2020-05-07T11:43:46Z,70,59.1794047,24.5882377,,5141.0,96975.51630927206
2020-05-07T11:44:16Z,65,59.1804855,24.5919751,,5171.0,97777.91789688758
2020-05-07T11:44:46Z,62,59.1809169,24.5936726,,5201.0,98132.18995100462
2020-05-07T11:45:16Z,68,59.181148,24.5965503,,5231.0,98676.78077969883
2020-05-07T11:45:47Z,60,59.181319,24.5994414,,5262.0,99220.89440387371
2020-05-07T11:46:18Z,66,59.1814632,24.6011672,,5293.0,99547.81352048677
2020-05-07T11:46:49Z,61,59.1815078,24.602051,,5324.0,99713.8480634945
2020-05-07T11:47:19Z,65,59.1815272,24.6027142,,5354.0,99838.04195542117
2020-05-07T11:49:15Z,68,59.1815186,24.6032522,,5470.0,99938.67516782736
2020-05-07T11:49:46Z,58,59.181661,24.6054428,,5501.0,100351.5115490254
2020-05-07T11:50:17Z,70,59.1818202,24.6103796,,5532.0,101276.31417734739
2020-05-07T11:51:50Z,75,59.1816062,24.6108513,,5625.0,101394.1102110133
2020-05-07T11:52:21Z,81,59.1780024,24.6181539,,5656.0,103289.8320271792
2020-05-07T11:52:52Z,74,59.1726635,24.6217237,,5687.0,105349.3248017428
2020-05-07T11:53:23Z,70,59.1704131,24.624774,,5718.0,106349.24248673892
2020-05-07T11:53:53Z,72,59.171803,24.6330949,,5748.0,107985.96299488962
2020-05-07T11:54:24Z,65,59.1738673,24.6421764,,5779.0,109843.84599320343
2020-05-07T11:54:55Z,66,59.1747653,24.6459634,,5810.0,110624.15884526681
2020-05-07T11:56:51Z,72,59.1748775,24.6465744,,5926.0,110745.5286656278
2020-05-07T11:57:21Z,64,59.1773668,24.6472985,,5956.0,111663.97764597925
2020-05-07T11:57:52Z,57,59.1819194,24.6473405,,5987.0,113325.36472265817
2020-05-07T11:58:22Z,67,59.1868328,24.6479557,,6017.0,115122.0836362461
2020-05-07T11:58:53Z,68,59.1908801,24.6490089,,6048.0,116612.11638728176
2020-05-07T11:59:23Z,68,59.1929905,24.6535182,,6078.0,117753.79566199638
2020-05-07T11:59:54Z,69,59.1934287,24.6607289,,6109.0,119110.8982210857
2020-05-07T12:00:25Z,74,59.1934544,24.6628364,,6140.0,119504.88963837331
2020-05-07T12:00:56Z,67,59.1968972,24.6659894,,6171.0,120892.57975162723
2020-05-07T12:01:27Z,73,59.1978754,24.6669654,,6202.0,121293.44662795373
2020-05-07T12:01:57Z,71,59.1974666,24.666661,,6232.0,121453.10618801326
2020-05-07T12:02:28Z,63,59.19653,24.6654147,,6263.0,121866.70570555225
2020-05-07T12:07:18Z,70,59.1967394,24.6657552,,6553.0,121966.14633110439
2020-05-07T12:07:49Z,66,59.2018138,24.6688674,,6584.0,123907.10529675959
2020-05-07T12:08:20Z,62,59.2067589,24.6650007,,6615.0,125850.94232185517
2020-05-07T12:08:51Z,68,59.2107055,24.6622825,,6646.0,127378.06060360333
2020-05-07T12:09:21Z,62,59.2147733,24.6622639,,6676.0,128862.5163596286
2020-05-07T12:09:51Z,65,59.2182348,24.6660191,,6706.0,130307.35510360578
2020-05-07T12:10:21Z,68,59.2209974,24.670981,,6736.0,131676.67096129112
2020-05-07T12:10:51Z,53,59.224991,24.6735902,,6766.0,133213.33140946412
2020-05-07T12:11:22Z,59,59.2289282,24.6784264,,6797.0,134910.30793030886
2020-05-07T12:11:53Z,63,59.233194,24.6816187,,6828.0,136577.19510417047
2020-05-07T12:12:24Z,64,59.2354525,24.6852548,,6859.0,137644.89949760603
2020-05-07T12:12:55Z,59,59.2374833,24.685961,,6890.0,138397.62602677953
2020-05-07T12:13:26Z,61,59.2381892,24.6861107,,6921.0,138656.73906834604
2020-05-07T12:14:21Z,59,59.2384603,24.6860084,,6976.0,138757.49664013428
2020-05-07T12:14:51Z,62,59.2398532,24.6860574,,7006.0,139265.88621852564
2020-05-07T12:15:51Z,61,59.2401288,24.6859829,,7066.0,139367.4163903928
2020-05-07T12:16:21Z,62,59.2428874,24.6861328,,7096.0,140374.49379482385
2020-05-07T12:16:52Z,66,59.2466703,24.6866187,,7127.0,141757.95240406357
2020-05-07T12:17:23Z,66,59.250662,24.6871768,,7158.0,143218.35072997087
2020-05-07T12:17:54Z,69,59.2510983,24.6879533,,7189.0,143433.61874774063
2020-05-07T12:18:51Z,69,59.2513543,24.6881761,,7246.0,143535.87107516787
2020-05-07T12:19:22Z,65,59.2552388,24.6962218,,7277.0,145600.49226469308
2020-05-07T12:19:52Z,71,59.2573669,24.7079972,,7307.0,147930.43298377015
2020-05-07T12:20:23Z,65,59.2624898,24.7181995,,7338.0,150598.11777621313
2020-05-07T12:20:54Z,65,59.2672591,24.7292121,,7369.0,153290.25723593892
2020-05-07T12:21:24Z,70,59.2686941,24.7406056,,7399.0,155478.57234486938
2020-05-07T12:21:55Z,67,59.2699076,24.7406514,,7430.0,155921.4940933018
2020-05-07T12:39:43Z,71,59.2696839,24.7410138,,8498.0,156027.4703055949
2020-05-07T12:40:14Z,74,59.2640242,24.7409004,,8529.0,158092.95819542676
2020-05-07T12:40:45Z,82,59.2569324,24.7408371,,8560.0,160680.97726834516
2020-05-07T12:41:15Z,88,59.2513593,24.7418233,,8590.0,162723.05951504628
2020-05-07T12:41:46Z,78,59.2462436,24.734819,,8621.0,165001.93225203166
2020-05-07T12:42:16Z,79,59.240257,24.729058,,8651.0,167436.82501745428
2020-05-07T12:42:47Z,73,59.2351312,24.7243514,,8682.0,169503.39117403133
2020-05-07T12:43:17Z,67,59.2318911,24.7184874,,8712.0,171114.71344055404
2020-05-07T12:43:47Z,66,59.2294036,24.7143421,,8742.0,172307.57858883683
2020-05-07T12:44:18Z,72,59.2270841,24.712779,,8773.0,173202.92485224173
2020-05-07T12:46:26Z,65,59.2269113,24.7133104,,8901.0,173320.4862022322
2020-05-07T12:46:57Z,76,59.2255837,24.7148822,,8932.0,173886.92075246872
2020-05-07T12:47:27Z,66,59.2233431,24.7130444,,8962.0,174773.6689393586
2020-05-07T12:47:57Z,68,59.2199291,24.7126959,,8992.0,176021.22967099748
2020-05-07T12:48:28Z,72,59.2152468,24.7168448,,9023.0,177897.41167676833
2020-05-07T12:48:58Z,69,59.2110903,24.7201053,,9053.0,179531.92907596577
2020-05-07T12:49:28Z,68,59.2108124,24.7204442,,9083.0,179651.4792814682
2020-05-07T12:49:59Z,69,59.210079,24.7211509,,9114.0,179949.90380317325
2020-05-07T12:50:30Z,70,59.2085635,24.7198417,,9145.0,180554.6146003453
2020-05-07T12:51:01Z,75,59.2073628,24.720821,,9176.0,181029.44221085924
2020-05-07T12:51:32Z,76,59.2079072,24.7243165,,9207.0,181712.0113222326
2020-05-07T12:52:03Z,78,59.2055459,24.7256179,,9238.0,182607.35726037892
2020-05-07T12:52:33Z,67,59.2043122,24.7235192,,9268.0,183204.37892381533
2020-05-07T12:53:03Z,65,59.2034033,24.7219867,,9298.0,183642.5537611166
2020-05-07T12:53:34Z,72,59.2030382,24.7221424,,9329.0,183778.92761266892
2020-05-07T12:54:50Z,73,59.2030978,24.7216145,,9405.0,183879.93104119797
2020-05-07T12:55:21Z,72,59.2018396,24.714543,,9436.0,185278.71110980207
2020-05-07T12:55:51Z,64,59.199854,24.7108488,,9466.0,186279.47343099382
2020-05-07T12:56:22Z,65,59.1949464,24.7053626,,9497.0,188343.0781139699
2020-05-07T12:56:53Z,69,59.1930659,24.7033776,,9528.0,189123.1800128005
2020-05-07T12:57:23Z,70,59.1902289,24.7079845,,9558.0,190469.74941224803
2020-05-07T12:57:54Z,73,59.1846385,24.7148874,,9589.0,192883.65594457666
2020-05-07T12:58:24Z,77,59.1808968,24.722654,,9619.0,194876.82359888166
2020-05-07T12:58:55Z,73,59.1776256,24.72769,,9650.0,196397.22919605442
2020-05-07T12:59:26Z,77,59.1741069,24.7332026,,9681.0,198043.85978860172
2020-05-07T12:59:56Z,83,59.1700929,24.7376262,,9711.0,199726.13692976403
2020-05-07T13:00:27Z,82,59.1699533,24.7329003,,9742.0,200611.45328730583
2020-05-07T13:00:58Z,78,59.1695925,24.7245685,,9773.0,202175.25105271896
2020-05-07T13:01:29Z,78,59.1689429,24.7151981,,9804.0,203943.72518663408
2020-05-07T13:02:00Z,76,59.1680901,24.7077192,,9835.0,205376.71082361948
2020-05-07T13:02:31Z,81,59.1641609,24.7075217,,9866.0,206811.05935291367
2020-05-07T13:03:01Z,81,59.1574163,24.7089703,,9896.0,209287.2223015317
2020-05-07T13:03:32Z,89,59.1548327,24.7146602,,9927.0,210709.27511610443
2020-05-07T13:04:03Z,88,59.1546589,24.7173846,,9958.0,211222.957176484
2020-05-07T13:04:59Z,87,59.1548294,24.7167998,,10014.0,211348.82959774885
2020-05-07T13:05:30Z,96,59.156015,24.7094299,,10045.0,212794.03808639673
